State,Date,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
Alaska,2020-03-29,"virus, to avoid, killing, fight, viruses",", catching, afraid of, talking about, y'all","advice, email, clear, positive for, latest","buy, because of the, gonna, stock, masks","trump, pence, response, crisis, trump","safe, will be, because of, market, industry","it's, give, thinking, gonna get, giving","right now, coughing, to deal with, bs, worry about","going to, because of the, imagine, should be, hit","taking, caught, going around, thought, y'all"
Alaska,2020-03-30,"catch, hope, thing, cuz, karma","it's, i've, racist, hold, memes","advice, email, clear, positive for, latest","vaccine, there is no, report, free, funding","virus, how do you, pakistan, awareness, might have","going to, fight, going to be, this year, because of","makes, thing, making, cough, worse","there's, person, test, isn't, ship","symptoms, go to work, symptoms of, catching, experts","ppl, president, cuz, would be, eating"
Alaska,2020-03-31,"advice, email, clear, positive for, latest","virus, how do you, pakistan, awareness, might have","infection, be safe from, happening, to be racist, care about","die, catch, so far, at this point, die from the","hit, thing, economy, won't, bill","virus, chinese, in china, spreading, started","school, close, bc of, gonna, schools","started, brexit, blame, problem, eu","hope, doesn't, spreading, stop, i really hope","virus, idiot, human, 19, test positive for"
Alaska,2020-04-01,"due to the, at work, empty, bc of the, travel","country, in india, beat, biggest, india","due to, italy, trip, washington, area","case of, case, confirmed, in my county, first case of","test, risk, free, stand, police","trump, pence, response, crisis, trump","virus, idiot, human, 19, test positive for","thing, stupid, drink, numbers, trump","mask, masks, wearing, prevent, worried about","right now, coughing, to deal with, bs, worry about"
Alaska,2020-04-02,"ppl, president, cuz, would be, eating","because of, cancel, hygiene, economy, surely","due to the, at work, empty, bc of the, travel","beer, cure, thought, americans, drinking","sick, days, coming, give me, months","flights, flight, because of, countries, air","deaths, cases, total, breaking, new cases of","stop, jokes, asians, cure, racism","safe, will be, because of, market, industry","cancelled, due to, school, students, classes"
Alaska,2020-04-03,"reduce your risk, let's, shake, common, trying to get","patient, quarantine, tested positive for, hospital, case","pandemic, business, start, dance, cures","ppl, president, cuz, would be, eating","mask, masks, wearing, prevent, worried about","event, because of the, cancel, this year, events","it's, i've, racist, hold, memes","school, close, bc of, gonna, schools","fear, no one, media, panic, a pandemic","because of the, online, right now, situation, china"
Alaska,2020-04-04,"death, i guess, made in china, 1st, be careful","control, 2020, at this point, challenge, country","flights, flight, because of, countries, air","china, iran, world, handling, created","cancelled, due to, school, students, classes","hope, contract, dying, cough, would be","gonna be, cancelled, 2020, will be, summer","started, brexit, blame, problem, eu","deaths, cases, total, breaking, new cases of","there's, person, test, isn't, ship"
Alaska,2020-04-05,"mask, masks, wearing, prevent, worried about","kills, players, lysol, simply, tv","trump, president, election, spreading, america","thing, stupid, drink, numbers, trump","iran, thread, died, die, in","travel, scare, stupid, stuff, mad","gonna, word, bring, tweets, town","government, plan, trump's, start, quarantine","person, lives, looks like, biden, boomers","news, heard, due to the, has been, plan"
Alaska,2020-04-06,"flights, flight, because of, countries, air","government, plan, trump's, start, quarantine","foxnews alert, breaking, death, state of emergency, australia","virus, how do you, pakistan, awareness, might have","catch, hope, thing, cuz, karma","going to, fight, going to be, this year, because of","buy, because of the, gonna, stock, masks","gonna, word, bring, tweets, town","infection, be safe from, happening, to be racist, care about","virus, chinese, in china, spreading, started"
Alaska,2020-04-07,"symptoms, go to work, symptoms of, catching, experts","worldwide, ny, in this place, waiting for, russia","it's, give, thinking, gonna get, giving","bc, news, coming, what's, suddenly","impact, states, panic, give, health","country, reported, guess, breaking, week","reduce your risk, let's, shake, common, trying to get","infection, be safe from, happening, to be racist, care about","due to the, at work, empty, bc of the, travel","case of, case, confirmed, in my county, first case of"
