State,Date,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
Alabama,2020-01-01,"impact, states, panic, give, health","due to, italy, trip, washington, area",", catching, afraid of, talking about, y'all","hope, contract, dying, cough, would be","bc, news, coming, what's, suddenly","pandemic, business, start, dance, cures","mask, masks, wearing, prevent, worried about","there's, person, test, isn't, ship","news, live, nyc, confirmed, cancel","right now, coughing, to deal with, bs, worry about"
Alabama,2020-01-02,"impact, states, panic, give, health","makes, thing, making, cough, worse","mask, masks, wearing, prevent, worried about","trump, pence, response, crisis, trump","cases, county, case, usa, updates","flu, hysteria, rate, worried about the, symptoms","buying, water, because of, paper, panic buying","hope, doesn't, spreading, stop, i really hope","wash, clean, your hands, some people, hearing","flu, a little, thing, more than, influenza"
Alabama,2020-01-03,"news, heard, due to the, has been, plan","impact, states, panic, give, health","mask, masks, wearing, prevent, worried about","world, wash your hands, end, release, the end of","stop, jokes, asians, cure, racism","it's, give, thinking, gonna get, giving","case of, case, confirmed, in my county, first case of","test, risk, free, stand, police","due to, italy, trip, washington, area",
Alabama,2020-01-04,"going to, because of the, imagine, should be, hit","impact, states, panic, give, health","virus, to avoid, killing, fight, viruses","due to the, at work, empty, bc of the, travel","news, heard, due to the, has been, plan","inform yourself about, be smart, avoid, fear of, coughs","event, because of the, cancel, this year, events","news, live, nyc, confirmed, cancel","school, close, bc of, gonna, schools","bc, news, coming, what's, suddenly"
Alabama,2020-01-05,"impact, states, panic, give, health","world, wash your hands, end, release, the end of","years, have been, de, killed, i feel like","test, risk, free, stand, police","event, because of the, cancel, this year, events","country, in india, beat, biggest, india","the spread of, to prevent, should be, mfs, wash their hands",", catching, afraid of, talking about, y'all","kills, players, lysol, simply, tv","city, state, live, welp, florida"
Alabama,2020-01-06,"world, wash your hands, end, release, the end of","stop, spreading, going to, we need to, the only thing","impact, states, panic, give, health","cancelled, due to, school, students, classes","pandemic, business, start, dance, cures","news, heard, due to the, has been, plan","house, will be, ago, asked, mf","safe, will be, because of, market, industry","flu, hysteria, rate, worried about the, symptoms","sick, days, coming, give me, months"
Alabama,2020-01-07,"immune to the, immune to, you are immune, ate, if you ever","hope, doesn't, spreading, stop, i really hope","news, live, nyc, confirmed, cancel","positive, case, confirmed, yesterday, cases","news, heard, due to the, has been, plan","flights, flight, because of, countries, air","foxnews alert, breaking, death, state of emergency, australia","travel, scare, stupid, stuff, mad","catch, hope, thing, cuz, karma","panic, basically, response to, let's, city"
Alabama,2020-01-08,"impact, states, panic, give, health","school, close, bc of, gonna, schools","wash, clean, your hands, some people, hearing","makes, thing, making, cough, worse","gonna, word, bring, tweets, town","mask, masks, wearing, prevent, worried about","buying, water, because of, paper, panic buying","panic, basically, response to, let's, city","safe, will be, because of, market, industry","china, made, week, government, wuhan"
Alabama,2020-01-09,"trending, pray, trumpvirus, coronvirus, cornoravirus","face, touch, train, bc, your face","news, live, nyc, confirmed, cancel","gonna, word, bring, tweets, town","stop, jokes, asians, cure, racism","flu, hysteria, rate, worried about the, symptoms","flu, a little, thing, more than, influenza","hope, contract, dying, cough, would be","bc, news, coming, what's, suddenly","will be, do you think, apparently, victims, die"
Alabama,2020-01-10,"person, lives, looks like, biden, boomers","immune to the, immune to, you are immune, ate, if you ever","bc, news, coming, what's, suddenly","impact, states, panic, give, health","ppl, president, cuz, would be, eating","cases, there are, cases of, uk, in the uk","news, live, nyc, confirmed, cancel","going to, because of the, imagine, should be, hit","wash, clean, your hands, some people, hearing","vaccine, there is no, report, free, funding"
Alabama,2020-01-11,"case of, case, confirmed, in my county, first case of","virus, to avoid, killing, fight, viruses","impact, states, panic, give, health","cases, county, case, usa, updates","started, brexit, blame, problem, eu","person, lives, looks like, biden, boomers","kills, players, lysol, simply, tv","flu, a little, thing, more than, influenza","world, wash your hands, end, release, the end of","mask, masks, wearing, prevent, worried about"
Alabama,2020-01-12,"impact, states, panic, give, health","hope, contract, dying, cough, would be","hope, doesn't, spreading, stop, i really hope","infection, be safe from, happening, to be racist, care about","thing, stupid, drink, numbers, trump",", catching, afraid of, talking about, y'all","there's, person, test, isn't, ship","event, because of the, cancel, this year, events","patients, hospital, doctors, nhs, live","virus, how do you, pakistan, awareness, might have"
Alabama,2020-01-13,"control, 2020, at this point, challenge, country","news, live, nyc, confirmed, cancel","foxnews alert, breaking, death, state of emergency, australia","country, in india, beat, biggest, india","makes, thing, making, cough, worse","impact, states, panic, give, health","hope, doesn't, spreading, stop, i really hope","sick, days, coming, give me, months","event, because of the, cancel, this year, events","because of, cancel, hygiene, economy, surely"
Alabama,2020-01-14,"impact, states, panic, give, health","cases, there are, cases of, uk, in the uk","the spread of, to prevent, should be, mfs, wash their hands","virus, to avoid, killing, fight, viruses","foxnews alert, breaking, death, state of emergency, australia","due to the, at work, empty, bc of the, travel","house, will be, ago, asked, mf","country, in india, beat, biggest, india","stop, jokes, asians, cure, racism","virus, how do you, pakistan, awareness, might have"
Alabama,2020-01-15,"right now, coughing, to deal with, bs, worry about","wash, clean, your hands, some people, hearing","symptoms, go to work, symptoms of, catching, experts","read, news, article, thread, cover","bc, news, coming, what's, suddenly","there's, person, test, isn't, ship","event, because of the, cancel, this year, events","tests, testing, free, tested, tested for","cases, county, case, usa, updates","cases, update, infected, confirmed, increase"
Alabama,2020-01-16,"impact, states, panic, give, health","country, in india, beat, biggest, india","thing, stupid, drink, numbers, trump","world, wash your hands, end, release, the end of","catch, hope, thing, cuz, karma","city, state, live, welp, florida","years, have been, de, killed, i feel like","going to, because of the, imagine, should be, hit","advice, email, clear, positive for, latest","started, brexit, blame, problem, eu"
Alabama,2020-01-17,"ppl, president, cuz, would be, eating","it's, give, thinking, gonna get, giving","mask, masks, wearing, prevent, worried about","tests, testing, free, tested, tested for","due to the, at work, empty, bc of the, travel","china, made, week, government, wuhan","world, wash your hands, end, release, the end of","news, live, nyc, confirmed, cancel","virus, how do you, pakistan, awareness, might have","face, touch, train, bc, your face"
Alabama,2020-01-18,"control, 2020, at this point, challenge, country","virus, chinese, in china, spreading, started","ppl, president, cuz, would be, eating","gonna, word, bring, tweets, town","it's, interesting, scary, children, badly","buying, water, because of, paper, panic buying","kills, players, lysol, simply, tv","school, close, bc of, gonna, schools","world, wash your hands, end, release, the end of","symptoms, go to work, symptoms of, catching, experts"
Alabama,2020-01-19,"gonna, word, bring, tweets, town","control, 2020, at this point, challenge, country","impact, states, panic, give, health","patients, hospital, doctors, nhs, live","made, disease, office, joke, ill","flights, flight, because of, countries, air","world, wash your hands, end, release, the end of","face, touch, train, bc, your face","news, live, nyc, confirmed, cancel",", catching, afraid of, talking about, y'all"
Alabama,2020-01-20,"house, will be, ago, asked, mf","impact, states, panic, give, health","the spread of, to prevent, should be, mfs, wash their hands","school, close, bc of, gonna, schools","news, heard, due to the, has been, plan","will be, do you think, apparently, victims, die","scared, sick, the only one, right now, dangerous","face, touch, train, bc, your face","death, i guess, made in china, 1st, be careful","city, state, live, welp, florida"
Alabama,2020-01-21,"stop, jokes, asians, cure, racism","country, in india, beat, biggest, india","buying, water, because of, paper, panic buying","immune to the, immune to, you are immune, ate, if you ever","cases, update, infected, confirmed, increase","inform yourself about, be smart, avoid, fear of, coughs","tests, testing, free, tested, tested for","virus, to avoid, killing, fight, viruses","trending, pray, trumpvirus, coronvirus, cornoravirus","world, wash your hands, end, release, the end of"
Alabama,2020-01-22,"world, wash your hands, end, release, the end of","pandemic, business, start, dance, cures","years, have been, de, killed, i feel like","foxnews alert, breaking, death, state of emergency, australia","government, plan, trump's, start, quarantine","trump, pence, response, crisis, trump","city, state, live, welp, florida","kills, players, lysol, simply, tv","impact, states, panic, give, health","ppl, president, cuz, would be, eating"
Alabama,2020-01-23,"virus, test, doctor, safe, inside","flights, flight, because of, countries, air",", catching, afraid of, talking about, y'all","cases, there are, cases of, uk, in the uk","virus, how do you, pakistan, awareness, might have","due to the, at work, empty, bc of the, travel","flu, a little, thing, more than, influenza","news, live, nyc, confirmed, cancel","immune to the, immune to, you are immune, ate, if you ever","face, touch, train, bc, your face"
Alabama,2020-01-24,"face, touch, train, bc, your face","die, catch, so far, at this point, die from the","hope, contract, dying, cough, would be","buying, water, because of, paper, panic buying","person, lives, looks like, biden, boomers","ppl, president, cuz, would be, eating","impact, states, panic, give, health","wash, clean, your hands, some people, hearing","will be, do you think, apparently, victims, die","travel, scare, stupid, stuff, mad"
Alabama,2020-01-25,"cases, county, case, usa, updates","impact, states, panic, give, health","foxnews alert, breaking, death, state of emergency, australia","read, news, article, thread, cover","bc, news, coming, what's, suddenly","flights, flight, because of, countries, air","mask, masks, wearing, prevent, worried about","makes, thing, making, cough, worse","going to, fight, going to be, this year, because of","flu, hysteria, rate, worried about the, symptoms"
Alabama,2020-01-26,"world, wash your hands, end, release, the end of","impact, states, panic, give, health","going to, fight, going to be, this year, because of","mask, masks, wearing, prevent, worried about","house, will be, ago, asked, mf","it's, give, thinking, gonna get, giving","virus, to avoid, killing, fight, viruses","flights, flight, because of, countries, air","reduce your risk, let's, shake, common, trying to get","death, i guess, made in china, 1st, be careful"
Alabama,2020-01-27,"tests, testing, free, tested, tested for","china, iran, world, handling, created","infection, be safe from, happening, to be racist, care about","pandemic, business, start, dance, cures","virus, how do you, pakistan, awareness, might have","foxnews alert, breaking, death, state of emergency, australia","immune to the, immune to, you are immune, ate, if you ever","fears, due to, numbers, amid, hits","news, heard, due to the, has been, plan","face, touch, train, bc, your face"
Alabama,2020-01-28,"die, catch, so far, at this point, die from the","thing, stupid, drink, numbers, trump","gonna, word, bring, tweets, town","catch, hope, thing, cuz, karma","china, iran, world, handling, created","makes, thing, making, cough, worse","beer, cure, thought, americans, drinking","face, touch, train, bc, your face","foxnews alert, breaking, death, state of emergency, australia","infection, be safe from, happening, to be racist, care about"
Alabama,2020-01-29,"virus, to avoid, killing, fight, viruses","travel, scare, stupid, stuff, mad","mask, masks, wearing, prevent, worried about","trending, pray, trumpvirus, coronvirus, cornoravirus","virus, how do you, pakistan, awareness, might have","news, heard, due to the, has been, plan","sick, days, coming, give me, months","house, will be, ago, asked, mf","kills, players, lysol, simply, tv","read, news, article, thread, cover"
Alabama,2020-01-30,"die, catch, so far, at this point, die from the","catch, hope, thing, cuz, karma","hope, contract, dying, cough, would be","give, alcohol, apparently, washing your hands, sanitizer","flu, a little, thing, more than, influenza","death, i guess, made in china, 1st, be careful","impact, states, panic, give, health","test, risk, free, stand, police","the spread of, to prevent, should be, mfs, wash their hands","virus, chinese, in china, spreading, started"
Alabama,2020-01-31,"house, will be, ago, asked, mf","beer, cure, thought, americans, drinking","hope, contract, dying, cough, would be","symptoms, go to work, symptoms of, catching, experts","right now, coughing, to deal with, bs, worry about","the spread of, to prevent, should be, mfs, wash their hands","hope, doesn't, spreading, stop, i really hope","world, wash your hands, end, release, the end of","person, lives, looks like, biden, boomers","fears, due to, numbers, amid, hits"
Alabama,2020-02-01,"foxnews alert, breaking, death, state of emergency, australia","kills, players, lysol, simply, tv","world, wash your hands, end, release, the end of","the spread of, to prevent, should be, mfs, wash their hands","news, heard, due to the, has been, plan","face, touch, train, bc, your face","hope, contract, dying, cough, would be","cancelled, due to, school, students, classes","worldwide, ny, in this place, waiting for, russia","china, iran, world, handling, created"
Alabama,2020-02-02,"death, i guess, made in china, 1st, be careful","travel, scare, stupid, stuff, mad","hope, doesn't, spreading, stop, i really hope","virus, to avoid, killing, fight, viruses","makes, thing, making, cough, worse","stop, jokes, asians, cure, racism","going to, fight, going to be, this year, because of","due to, italy, trip, washington, area","positive, case, confirmed, yesterday, cases","impact, states, panic, give, health"
Alabama,2020-02-03,"virus, to avoid, killing, fight, viruses","impact, states, panic, give, health","sick, days, coming, give me, months","panic, basically, response to, let's, city","country, in india, beat, biggest, india","kills, players, lysol, simply, tv","wash, clean, your hands, some people, hearing","pandemic, business, start, dance, cures","going to, because of the, imagine, should be, hit","country, reported, guess, breaking, week"
Alabama,2020-02-04,"house, will be, ago, asked, mf","china, made, week, government, wuhan","sick, days, coming, give me, months","will be, do you think, apparently, victims, die","reduce your risk, let's, shake, common, trying to get","positive, case, confirmed, yesterday, cases","it's, isn't, calling, called, thinking","impact, states, panic, give, health","symptoms, go to work, symptoms of, catching, experts","due to the, at work, empty, bc of the, travel"
Alabama,2020-02-05,"cancelled, due to, school, students, classes","virus, to avoid, killing, fight, viruses","impact, states, panic, give, health","kills, players, lysol, simply, tv","stop, jokes, asians, cure, racism","foxnews alert, breaking, death, state of emergency, australia","scared, sick, the only one, right now, dangerous","it's, give, thinking, gonna get, giving","news, live, nyc, confirmed, cancel","the spread of, to prevent, should be, mfs, wash their hands"
Alabama,2020-02-06,"trending, pray, trumpvirus, coronvirus, cornoravirus","cases, county, case, usa, updates","case of, case, confirmed, in my county, first case of","buying, water, because of, paper, panic buying","going to, fight, going to be, this year, because of","impact, states, panic, give, health","symptoms, go to work, symptoms of, catching, experts","die, catch, so far, at this point, die from the","started, brexit, blame, problem, eu","the spread of, to prevent, should be, mfs, wash their hands"
Alabama,2020-02-07,"trending, pray, trumpvirus, coronvirus, cornoravirus","country, in india, beat, biggest, india","ppl, president, cuz, would be, eating","case of, case, confirmed, in my county, first case of","news, live, nyc, confirmed, cancel","positive, case, confirmed, yesterday, cases","flights, flight, because of, countries, air","mask, masks, wearing, prevent, worried about","cancelled, due to, school, students, classes","stop, jokes, asians, cure, racism"
Alabama,2020-02-08,"will be, do you think, apparently, victims, die","tests, testing, free, tested, tested for","mask, masks, wearing, prevent, worried about","death, i guess, made in china, 1st, be careful","kills, players, lysol, simply, tv","worldwide, ny, in this place, waiting for, russia","event, because of the, cancel, this year, events","sick, days, coming, give me, months","country, reported, guess, breaking, week","it's, interesting, scary, children, badly"
Alabama,2020-02-09,"hope, contract, dying, cough, would be","ppl, president, cuz, would be, eating","wash, clean, your hands, some people, hearing","buy, because of the, gonna, stock, masks","catch, hope, thing, cuz, karma","beer, cure, thought, americans, drinking","virus, chinese, in china, spreading, started","reduce your risk, let's, shake, common, trying to get","patient, quarantine, tested positive for, hospital, case","travel, scare, stupid, stuff, mad"
Alabama,2020-02-10,"die, catch, so far, at this point, die from the","virus, test, doctor, safe, inside","worldwide, ny, in this place, waiting for, russia","flu, hysteria, rate, worried about the, symptoms","the spread of, to prevent, should be, mfs, wash their hands","positive, case, confirmed, yesterday, cases","cases, there are, cases of, uk, in the uk","test, risk, free, stand, police","flights, flight, because of, countries, air","news, live, nyc, confirmed, cancel"
Alabama,2020-02-11,"impact, states, panic, give, health","hope, contract, dying, cough, would be","positive, case, confirmed, yesterday, cases","face, touch, train, bc, your face","right now, coughing, to deal with, bs, worry about","due to, italy, trip, washington, area","news, heard, due to the, has been, plan","school, close, bc of, gonna, schools","hope, doesn't, spreading, stop, i really hope","travel, scare, stupid, stuff, mad"
Alabama,2020-02-12,"hope, contract, dying, cough, would be","immune to the, immune to, you are immune, ate, if you ever","impact, states, panic, give, health","tests, testing, free, tested, tested for","school, close, bc of, gonna, schools","china, made, week, government, wuhan","news, live, nyc, confirmed, cancel","reduce your risk, let's, shake, common, trying to get","mask, masks, wearing, prevent, worried about","stop, jokes, asians, cure, racism"
Alabama,2020-02-13,"world, wash your hands, end, release, the end of","impact, states, panic, give, health",", catching, afraid of, talking about, y'all","china, iran, world, handling, created","death, i guess, made in china, 1st, be careful","cases, county, case, usa, updates","city, state, live, welp, florida","pandemic, business, start, dance, cures","immune to the, immune to, you are immune, ate, if you ever","travel, scare, stupid, stuff, mad"
Alabama,2020-02-14,"scared, sick, the only one, right now, dangerous","impact, states, panic, give, health","kills, players, lysol, simply, tv","city, state, live, welp, florida","immune to the, immune to, you are immune, ate, if you ever","hope, contract, dying, cough, would be","buy, because of the, gonna, stock, masks","safe, will be, because of, market, industry","cancelled, due to, school, students, classes","will be, do you think, apparently, victims, die"
Alabama,2020-02-15,"news, live, nyc, confirmed, cancel","taking, caught, going around, thought, y'all","news, heard, due to the, has been, plan","give, alcohol, apparently, washing your hands, sanitizer","wash, clean, your hands, some people, hearing","country, in india, beat, biggest, india","impact, states, panic, give, health","foxnews alert, breaking, death, state of emergency, australia","scared, sick, the only one, right now, dangerous","flu, hysteria, rate, worried about the, symptoms"
Alabama,2020-02-16,"infection, be safe from, happening, to be racist, care about","hope, contract, dying, cough, would be","mask, masks, wearing, prevent, worried about","house, will be, ago, asked, mf","because of, cancel, hygiene, economy, surely","impact, states, panic, give, health","virus, how do you, pakistan, awareness, might have","face, touch, train, bc, your face","trending, pray, trumpvirus, coronvirus, cornoravirus","kills, players, lysol, simply, tv"
Alabama,2020-02-17,"mask, masks, wearing, prevent, worried about","years, have been, de, killed, i feel like","catch, hope, thing, cuz, karma","country, in india, beat, biggest, india","advice, email, clear, positive for, latest","house, will be, ago, asked, mf","positive, case, confirmed, yesterday, cases","foxnews alert, breaking, death, state of emergency, australia","thing, stupid, drink, numbers, trump","die, catch, so far, at this point, die from the"
Alabama,2020-02-18,"inform yourself about, be smart, avoid, fear of, coughs","catch, hope, thing, cuz, karma","virus, test, doctor, safe, inside","reduce your risk, let's, shake, common, trying to get","cancelled, due to, school, students, classes","test, risk, free, stand, police","trending, pray, trumpvirus, coronvirus, cornoravirus","die, catch, so far, at this point, die from the","will be, do you think, apparently, victims, die","symptoms, go to work, symptoms of, catching, experts"
Alabama,2020-02-19,"die, catch, so far, at this point, die from the","due to, italy, trip, washington, area","hope, contract, dying, cough, would be","patient, quarantine, tested positive for, hospital, case","trending, pray, trumpvirus, coronvirus, cornoravirus","the spread of, to prevent, should be, mfs, wash their hands","city, state, live, welp, florida","impact, states, panic, give, health","flights, flight, because of, countries, air","tests, testing, free, tested, tested for"
Alabama,2020-02-20,"catch, hope, thing, cuz, karma","virus, to avoid, killing, fight, viruses","hope, contract, dying, cough, would be","cancelled, due to, school, students, classes","impact, states, panic, give, health","virus, how do you, pakistan, awareness, might have","ppl, president, cuz, would be, eating","cases, update, infected, confirmed, increase","flights, flight, because of, countries, air","school, close, bc of, gonna, schools"
Alabama,2020-02-21,"impact, states, panic, give, health","china, made, week, government, wuhan","pandemic, business, start, dance, cures","reduce your risk, let's, shake, common, trying to get","hope, doesn't, spreading, stop, i really hope","stop, spreading, going to, we need to, the only thing","the spread of, to prevent, should be, mfs, wash their hands","test, risk, free, stand, police","it's, isn't, calling, called, thinking","wash, clean, your hands, some people, hearing"
Alabama,2020-02-22,"impact, states, panic, give, health","immune to the, immune to, you are immune, ate, if you ever","gonna be, cancelled, 2020, will be, summer","virus, test, doctor, safe, inside","wash, clean, your hands, some people, hearing","news, heard, due to the, has been, plan","the spread of, to prevent, should be, mfs, wash their hands","due to, italy, trip, washington, area","ppl, president, cuz, would be, eating","stop, jokes, asians, cure, racism"
Alabama,2020-02-23,"impact, states, panic, give, health","inform yourself about, be smart, avoid, fear of, coughs","reduce your risk, let's, shake, common, trying to get","travel, scare, stupid, stuff, mad","flu, a little, thing, more than, influenza","panic, basically, response to, let's, city","immune to the, immune to, you are immune, ate, if you ever","going to, fight, going to be, this year, because of","safe, will be, because of, market, industry","hit, thing, economy, won't, bill"
Alabama,2020-02-24,"hope, contract, dying, cough, would be","stop, jokes, asians, cure, racism","die, catch, so far, at this point, die from the","worldwide, ny, in this place, waiting for, russia","years, have been, de, killed, i feel like","country, in india, beat, biggest, india","face, touch, train, bc, your face","patients, hospital, doctors, nhs, live","world, wash your hands, end, release, the end of","trump, president, election, spreading, america"
Alabama,2020-02-25,"it's, give, thinking, gonna get, giving","impact, states, panic, give, health","the spread of, to prevent, should be, mfs, wash their hands","country, in india, beat, biggest, india","kills, players, lysol, simply, tv","taking, caught, going around, thought, y'all","right now, coughing, to deal with, bs, worry about","test, risk, free, stand, police","flu, hysteria, rate, worried about the, symptoms","scared, sick, the only one, right now, dangerous"
Alabama,2020-02-26,"immune to the, immune to, you are immune, ate, if you ever","world, wash your hands, end, release, the end of","positive, case, confirmed, yesterday, cases","infection, be safe from, happening, to be racist, care about","mask, masks, wearing, prevent, worried about","country, in india, beat, biggest, india","china, iran, world, handling, created","pandemic, business, start, dance, cures","deaths, cases, total, breaking, new cases of","sick, days, coming, give me, months"
Alabama,2020-02-27,"impact, states, panic, give, health","stop, jokes, asians, cure, racism","going to, because of the, imagine, should be, hit","catch, hope, thing, cuz, karma","trending, pray, trumpvirus, coronvirus, cornoravirus","patient, quarantine, tested positive for, hospital, case","foxnews alert, breaking, death, state of emergency, australia","cancelled, due to, school, students, classes","stop, spreading, going to, we need to, the only thing","scared, sick, the only one, right now, dangerous"
Alabama,2020-02-28,"country, in india, beat, biggest, india","deaths, cases, total, breaking, new cases of","patients, hospital, doctors, nhs, live","buying, water, because of, paper, panic buying","school, close, bc of, gonna, schools","event, because of the, cancel, this year, events","impact, states, panic, give, health","going to, because of the, imagine, should be, hit","test, risk, free, stand, police","it's, isn't, calling, called, thinking"
Alabama,2020-02-29,"face, touch, train, bc, your face","news, live, nyc, confirmed, cancel","flu, hysteria, rate, worried about the, symptoms","deaths, cases, total, breaking, new cases of","catch, hope, thing, cuz, karma",", catching, afraid of, talking about, y'all","hit, thing, economy, won't, bill","hope, doesn't, spreading, stop, i really hope","going to, fight, going to be, this year, because of","world, wash your hands, end, release, the end of"
Alabama,2020-03-01,"flu, hysteria, rate, worried about the, symptoms","thing, stupid, drink, numbers, trump","patients, hospital, doctors, nhs, live","travel, scare, stupid, stuff, mad","buying, water, because of, paper, panic buying","makes, thing, making, cough, worse","safe, will be, because of, market, industry","reduce your risk, let's, shake, common, trying to get","scared, sick, the only one, right now, dangerous","country, reported, guess, breaking, week"
Alabama,2020-03-02,"impact, states, panic, give, health","catch, hope, thing, cuz, karma","country, in india, beat, biggest, india","will be, do you think, apparently, victims, die","control, 2020, at this point, challenge, country","hope, contract, dying, cough, would be","inform yourself about, be smart, avoid, fear of, coughs","mask, masks, wearing, prevent, worried about","china, made, week, government, wuhan","the spread of, to prevent, should be, mfs, wash their hands"
Alabama,2020-03-03,"event, because of the, cancel, this year, events","positive, case, confirmed, yesterday, cases","mask, masks, wearing, prevent, worried about","give, alcohol, apparently, washing your hands, sanitizer","virus, chinese, in china, spreading, started","flu, hysteria, rate, worried about the, symptoms","it's, give, thinking, gonna get, giving","foxnews alert, breaking, death, state of emergency, australia","scared, sick, the only one, right now, dangerous","impact, states, panic, give, health"
Alabama,2020-03-04,"impact, states, panic, give, health","stop, jokes, asians, cure, racism","world, wash your hands, end, release, the end of","country, reported, guess, breaking, week","test, risk, free, stand, police","cases, there are, cases of, uk, in the uk","it's, give, thinking, gonna get, giving","started, brexit, blame, problem, eu","house, will be, ago, asked, mf","bc, news, coming, what's, suddenly"
Alabama,2020-03-05,"impact, states, panic, give, health","foxnews alert, breaking, death, state of emergency, australia","ppl, president, cuz, would be, eating","world, wash your hands, end, release, the end of","mask, masks, wearing, prevent, worried about","die, catch, so far, at this point, die from the","virus, to avoid, killing, fight, viruses","death, i guess, made in china, 1st, be careful","country, in india, beat, biggest, india","cases, update, infected, confirmed, increase"
Alabama,2020-03-06,"hope, contract, dying, cough, would be","impact, states, panic, give, health","catch, hope, thing, cuz, karma","mask, masks, wearing, prevent, worried about","world, wash your hands, end, release, the end of","case of, case, confirmed, in my county, first case of","house, will be, ago, asked, mf","face, touch, train, bc, your face","sick, days, coming, give me, months","immune to the, immune to, you are immune, ate, if you ever"
Alabama,2020-03-07,"die, catch, so far, at this point, die from the","impact, states, panic, give, health","world, wash your hands, end, release, the end of","infection, be safe from, happening, to be racist, care about","flights, flight, because of, countries, air","sick, days, coming, give me, months","china, iran, world, handling, created","scared, sick, the only one, right now, dangerous","reduce your risk, let's, shake, common, trying to get","stop, jokes, asians, cure, racism"
Alabama,2020-03-08,"deaths, cases, total, breaking, new cases of","going to, because of the, imagine, should be, hit","foxnews alert, breaking, death, state of emergency, australia","beer, cure, thought, americans, drinking","impact, states, panic, give, health","news, heard, due to the, has been, plan","hit, thing, economy, won't, bill","kills, players, lysol, simply, tv","panic, basically, response to, let's, city","flights, flight, because of, countries, air"
Alabama,2020-03-09,"mask, masks, wearing, prevent, worried about","face, touch, train, bc, your face","gonna, word, bring, tweets, town","virus, to avoid, killing, fight, viruses","wash, clean, your hands, some people, hearing","right now, coughing, to deal with, bs, worry about","kills, players, lysol, simply, tv","makes, thing, making, cough, worse","travel, scare, stupid, stuff, mad","virus, how do you, pakistan, awareness, might have"
Alabama,2020-03-10,"travel, scare, stupid, stuff, mad","flu, hysteria, rate, worried about the, symptoms","impact, states, panic, give, health","virus, how do you, pakistan, awareness, might have","infection, be safe from, happening, to be racist, care about","ppl, president, cuz, would be, eating","pandemic, business, start, dance, cures",,,
Alabama,2020-03-11,"event, because of the, cancel, this year, events","wash, clean, your hands, some people, hearing","ppl, president, cuz, would be, eating","the spread of, to prevent, should be, mfs, wash their hands","immune to the, immune to, you are immune, ate, if you ever","gonna, word, bring, tweets, town","impact, states, panic, give, health","reduce your risk, let's, shake, common, trying to get","flu, hysteria, rate, worried about the, symptoms","cases, county, case, usa, updates"
Alabama,2020-03-12,"mask, masks, wearing, prevent, worried about","kills, players, lysol, simply, tv","flights, flight, because of, countries, air","impact, states, panic, give, health","worldwide, ny, in this place, waiting for, russia","country, reported, guess, breaking, week","wash, clean, your hands, some people, hearing","test, risk, free, stand, police","immune to the, immune to, you are immune, ate, if you ever","right now, coughing, to deal with, bs, worry about"
Alabama,2020-03-13,"positive, case, confirmed, yesterday, cases","impact, states, panic, give, health","patient, quarantine, tested positive for, hospital, case","news, live, nyc, confirmed, cancel","cases, county, case, usa, updates","flights, flight, because of, countries, air","gonna be, cancelled, 2020, will be, summer","wash, clean, your hands, some people, hearing","give, alcohol, apparently, washing your hands, sanitizer","bc, news, coming, what's, suddenly"
Alabama,2020-03-14,"impact, states, panic, give, health","cases, update, infected, confirmed, increase","buying, water, because of, paper, panic buying","world, wash your hands, end, release, the end of","event, because of the, cancel, this year, events","travel, scare, stupid, stuff, mad","cancelled, due to, school, students, classes","stop, jokes, asians, cure, racism","cases, there are, cases of, uk, in the uk","reduce your risk, let's, shake, common, trying to get"
Alabama,2020-03-15,"made, disease, office, joke, ill","wash, clean, your hands, some people, hearing","flu, a little, thing, more than, influenza","trending, pray, trumpvirus, coronvirus, cornoravirus","taking, caught, going around, thought, y'all","house, will be, ago, asked, mf","cancelled, due to, school, students, classes","safe, will be, because of, market, industry","china, made, week, government, wuhan","read, news, article, thread, cover"
Alabama,2020-03-16,"wash, clean, your hands, some people, hearing","control, 2020, at this point, challenge, country","years, have been, de, killed, i feel like","beer, cure, thought, americans, drinking","stop, jokes, asians, cure, racism","country, in india, beat, biggest, india","city, state, live, welp, florida","mask, masks, wearing, prevent, worried about","cases, there are, cases of, uk, in the uk","event, because of the, cancel, this year, events"
Alabama,2020-03-17,"wash, clean, your hands, some people, hearing","cancelled, due to, school, students, classes","gonna be, cancelled, 2020, will be, summer","stop, jokes, asians, cure, racism","travel, scare, stupid, stuff, mad","world, wash your hands, end, release, the end of","immune to the, immune to, you are immune, ate, if you ever","impact, states, panic, give, health","kills, players, lysol, simply, tv","hope, contract, dying, cough, would be"
Alabama,2020-03-18,"taking, caught, going around, thought, y'all","news, live, nyc, confirmed, cancel","ppl, president, cuz, would be, eating","stop, spreading, going to, we need to, the only thing","beer, cure, thought, americans, drinking","china, iran, world, handling, created","it's, give, thinking, gonna get, giving","hope, doesn't, spreading, stop, i really hope","stop, jokes, asians, cure, racism","sick, days, coming, give me, months"
