State,Date,Word Count,Relative Twitter Sentiment,Relative Twitter Anxiety,Relative Twitter Loneliness
Alabama,2020-03-01,20796,1.140701185342983,0.11040083451316543,0.26686234887536137
Alabama,2020-03-02,23609,0.7193529014015279,0.03720345980244328,0.9733665412426892
Alabama,2020-03-03,24310,-0.0508932055817703,0.09600191392334778,1.0430781668716804
Alabama,2020-03-04,26302,0.07957782220214174,0.23713072196903714,0.8784710775958235
Alabama,2020-03-05,25088,-0.3214375486098116,0.4984093140859495,0.469903692695554
Alabama,2020-03-06,22751,0.2970104644042957,0.28342708587697274,0.621309978632284
Alabama,2020-03-07,18630,0.4896118598997274,0.2415095747794292,0.29895630717868626
Alabama,2020-03-08,19270,0.10526972723225585,0.5383272448615282,0.4646391874256531
Alabama,2020-03-09,22108,0.44852417297415376,0.4316633593391236,0.8488325913389072
Alabama,2020-03-10,24890,-0.4645449086255284,0.6963169581469956,0.6120715082977788
Alabama,2020-03-11,25892,-0.19320368062567198,0.38067249208483384,-0.12259449025557274
Alabama,2020-03-12,29493,0.46247892880873265,0.09714929783586705,-0.8138184444110871
Alabama,2020-03-13,31104,0.05787690488751105,0.4166393123537288,-0.6203483887005755
Alabama,2020-03-14,24095,0.6412393043215174,0.10847806636001187,0.08117602358940672
Alabama,2020-03-15,23874,-0.17817828250694392,0.6699384273671846,0.2723067300276979
Alabama,2020-03-16,28218,-0.10534855844990308,0.6642962360698508,0.6841638080573695
Alabama,2020-03-17,28955,0.7508996393390165,0.5785186688344807,0.11185615334323826
Alabama,2020-03-18,28389,0.5674550961331204,0.468666477261926,0.31432949688500117
Alabama,2020-03-19,24997,-0.2859085613103176,0.8607255210064743,0.9196235601544096
Alabama,2020-03-20,27191,0.09516059012527457,0.41090788863182814,0.48153959622790915
Alabama,2020-03-21,24362,0.14711581051826667,0.44203468943560137,0.8449450537333592
Alabama,2020-03-22,24793,0.2569855890392401,0.23803923393886126,0.9237234704038622
Alabama,2020-03-23,30259,-1.0355833183648437,0.5327871799110941,0.4834623856508835
Alabama,2020-03-24,30203,-0.19220899008131467,0.9354462524960058,-0.029391350036946592
Alabama,2020-03-25,30207,0.17431839720181516,-0.07339706444254947,1.3720649253105832
Alabama,2020-03-26,29035,-0.27062642426016,0.44831453700881374,1.0249169934173814
Alabama,2020-03-27,26348,-0.24531599260891968,0.5824111353795288,1.016201646567795
Alabama,2020-03-28,24765,0.1364971501426011,0.33408988583028737,1.0832856872079177
Alabama,2020-03-29,24593,0.31764905877717997,0.49238061908973113,1.9950946868443187
Alabama,2020-03-30,29117,0.36524781150013536,0.4939429202485133,1.1660295073791067
Alabama,2020-03-31,27857,0.5924887279148259,0.5877893767847778,1.3812955828650704
Alabama,2020-04-01,21581,0.756729503434023,-0.016284753496984827,0.4865107801553745
Alabama,2020-04-02,24605,0.0024225447458280725,0.43181420006573423,0.667696679538901
