day,cnty,Anxiety,Lonely_Expressions,Num_Tweets,Sentiment
2020-04-16,08001,-0.07512346301845593,-0.2913503639230785,112,0.2303885619613735
2020-04-16,08005,-0.1800984510156339,-0.22566908145312847,99,0.060890495611449165
2020-04-16,08013,-0.22228093034719582,-0.3293460777197734,240,0.42081882376702556
2020-04-16,08031,-0.14272347357216889,0.07631424551045372,1547,0.16504279953453074
2020-04-16,08035,-0.09546789987190331,0.18266003157778155,75,0.07175671587057966
2020-04-16,08041,-0.03703490232538141,0.1544121098049644,330,-0.027097721321343776
2020-04-16,08059,-0.056484555653192325,0.07900344959007652,328,0.37528410234772136
2020-04-16,08067,0.669102739252518,-0.19504393523910638,237,0.666794080212145
2020-04-16,08069,0.0050369231759603336,0.11608189612822799,154,0.05736640106218796
2020-04-16,08077,-0.08307516811459947,-0.6457376738351849,31,0.25886589349061595
2020-04-16,08097,-0.30471437300055626,-0.7332932723307725,28,0.11903829035656953
2020-04-16,08101,0.032474498493191874,-0.5053570012393227,57,-0.1039102281108351
2020-04-16,08107,0.9660793346077932,0.4081071302232598,39,-0.19886149217250318
2020-04-16,08123,0.0862704543998083,-0.10510894112377034,46,0.47440212007044597
2020-04-17,08001,0.005222553541746673,0.2726829551294588,126,0.13853756648862955
2020-04-17,08005,-0.1382251904551612,-0.31675270472343947,79,-0.043061068123966685
2020-04-17,08013,-0.10127499951733478,-0.14118070828644594,227,0.15985269727265858
2020-04-17,08031,-0.03832325036564119,0.18214054046251588,1402,0.13238677015205264
2020-04-17,08035,-0.2648456131567775,-0.389169699040548,68,0.09703495766425924
2020-04-17,08041,-0.05219434157968778,0.3134550882319652,299,0.0057069937536970115
2020-04-17,08059,-0.10151813617681509,0.024711126407245654,341,0.1847318689581071
2020-04-17,08067,0.06511778254553335,-0.19715029468649348,199,0.3049736465153069
2020-04-17,08069,-0.10019036085214189,0.19308544862703844,122,0.4245629714319732
2020-04-17,08077,-0.4503321850771599,-0.21762706271909288,25,-0.03122427732742365
2020-04-17,08097,-0.6051753087850059,0.030696928411610053,34,0.6556092044608911
2020-04-17,08101,0.3887600404270342,0.05853801992987946,43,0.44037118120630653
2020-04-17,08107,0.16218913802391074,-0.11762228825918342,38,0.15887778810525283
2020-04-17,08123,-0.11114028322502845,-0.10241223466444756,43,-0.056780416694189186
2020-04-18,08001,-0.08418615049282406,-0.11540946510463253,110,0.18075352949966236
2020-04-18,08005,-0.2378551086680699,-0.41046372705715956,91,-0.5511165006442097
2020-04-18,08013,-0.2062222212303445,-0.16186036437842002,195,-0.016603193133690738
2020-04-18,08031,0.032961631022668324,0.10256560302528986,1363,0.1124570321237378
2020-04-18,08035,-0.19474117982511377,0.08917439801338628,63,-0.01265608963399792
2020-04-18,08041,0.01648900437004974,-0.07556431880850659,275,0.2118342565675621
2020-04-18,08059,0.17402323666639674,0.07853478790718002,530,0.41116270138551947
2020-04-18,08067,0.2398069439484947,-0.3035832712671193,242,0.6933821995228108
2020-04-18,08069,0.02352257229145235,-0.03237315057007297,121,0.23330341680921407
2020-04-18,08077,0.22680897035163422,0.16791469741488677,22,-0.22947137296646683
2020-04-18,08097,0.23677414220873003,-0.07359491450455495,26,-0.34735489382530305
2020-04-18,08101,-0.28975766237067613,-0.23196216232641256,52,0.07860201158120333
2020-04-18,08107,-0.30509654065055586,-0.3391576535580194,48,0.08751620973446379
2020-04-18,08123,0.04808548920629493,0.05366369746263171,39,-0.10581192699045215
2020-04-19,08001,0.05416346818489853,-0.08144246793775768,100,-0.2637574550429301
2020-04-19,08005,0.2445971409632341,0.16873356196896871,80,0.036503933293247685
2020-04-19,08013,0.10848527152625496,-0.19320723061639622,193,0.0392137597866463
2020-04-19,08031,-0.08970298123969637,0.11384162469039344,1316,0.20665679212235155
2020-04-19,08035,-0.20585458634735163,-0.12170374166620757,43,0.2864275133905962
